Виртуальные коды клавиш
главная
В этой таблице приведены символические константы, шестнадцатеричные коды и клавиатурные эквиваленты для кодов виртуальных клавиш, используемых семейством операционных систем Microsoft Windows. Коды перечислены в числовом порядке.
Символическое имя	Значение (hex)	Мышиные, клавиатурные эквиваленты
VK_LBUTTON	01	Левая кнопка мыши
VK_RBUTTON	02	Правая кнопка мыши
VK_CANCEL	03	Обработка Control-break
VK_MBUTTON	04	Средняя кнопка мыши
VK_XBUTTON1	05	кнопка мыши X1
VK_XBUTTON2	06	кнопка мыши X2
-	07	Не определено
VK_BACK	08	BACKSPACE key
VK_TAB	09	TAB key
-	0A-0B	Зарезервировано
VK_CLEAR	0C	CLEAR key
VK_RETURN	0D	ENTER key
-	0E-0F	Не определено
VK_SHIFT	10	SHIFT key
VK_CONTROL	11	CTRL key
VK_MENU	12	ALT key
VK_PAUSE	13	PAUSE key
VK_CAPITAL	14	CAPS LOCK key
VK_KANA	15	Input Method Editor (IME) Kana mode
VK_HANGUEL	15	IME Hanguel mode (maintained for compatibility; use VK_HANGUL)
VK_HANGUL	15	IME Hangul mode
-	16	Не определено
VK_JUNJA	17	IME Junja mode
VK_FINAL	18	IME final mode
VK_HANJA	19	IME Hanja mode
VK_KANJI	19	IME Kanji mode
-	1A	Не определено
VK_ESCAPE	1B	ESC key
VK_CONVERT	1С	IME convert (Reserved for Kanji systems)
VK_NONCONVERT	1D	IME nonconvert (Reserved for Kanji systems)
VK_ACCEPT	1E	IME accept (Reserved for Kanji systems)
VK_MODECHANGE	1F	IME mode change request (Reserved for Kanji systems)
VK_SPACE	20	Пробел
VK_PRIOR	21	PAGE UP key
VK_NEXT	22	PAGE DOWN key
VK_END	23	END key
VK_HOME	24	HOME key
VK_LEFT	25	LEFT ARROW key
VK_UP	26	UP ARROW key
VK_RIGHT	27	RIGHT ARROW key
VK_DOWN	28	DOWN ARROW key
VK_SELECT	29	SELECT key
VK_PRINT	2A	PRINT key
VK_EXECUTE	2B	EXECUTE key
VK_SNAPSHOT	2C	PRINT SCREEN key for Windows 3.0 and later
VK_INSERT	2D	INS key
VK_DELETE	2E	DEL key
VK_HELP	2F	HELP key
VK_0	30	0 key
VK_1	31	1 key
VK_2	32	2 key
VK_3	33	3 key
VK_4	34	4 key
VK_5	35	5 key
VK_6	36	6 key
VK_7	37	7 key
VK_8	38	8 key
VK_9	39	9 key
-	3A-40	Не определено
VK_A	41	A key
VK_B	42	B key
VK_C	43	C key
VK_D	44	D key
VK_E	45	E key
VK_F	46	F key
VK_G	47	G key
VK_H	48	H key
VK_I	49	I key
VK_J	4A	J key
VK_K	4B	K key
VK_L	4C	L key
VK_M	4D	M key
VK_N	4E	N key
VK_O	4F	O key
VK_P	50	P key
VK_Q	51	Q key
VK_R	52	R key
VK_S	53	S key
VK_T	54	T key
VK_U	55	U key
VK_V	56	V key
VK_W	57	W key
VK_X	58	X key
VK_Y	59	Y key
VK_Z	5A	Z key
VK_LWIN	5B	Left Windows key (Microsoft Natural Keyboard)
VK_RWIN	5C	Right Windows key (Microsoft Natural Keyboard)
VK_APPS	5D	Applications key (Microsoft Natural Keyboard)
-	5E	Зарезервировано
VK_SLEEP	5F	Computer Sleep key
VK_NUMPAD0	60	Numeric keypad 0 key
VK_NUMPAD1	61	Numeric keypad 1 key
VK_NUMPAD2	62	Numeric keypad 2 key
VK_NUMPAD3	63	Numeric keypad 3 key
VK_NUMPAD4	64	Numeric keypad 4 key
VK_NUMPAD5	65	Numeric keypad 5 key
VK_NUMPAD6	66	Numeric keypad 6 key
